"asv_id","dtype","predictor","mean_abs_deriv","sd_abs_deriv","n_points","prop_sig_region"
"ASV_001","dna","water_temp",0.121569503054511,0.0713162602533136,100,0
"ASV_001","rna","water_temp",0.0455248544365578,3.26362540696654e-07,100,0
"ASV_001","rna_dna","water_temp",0.171585877983319,7.67825330326026e-06,100,0
"ASV_001","dna","specific_conductivity",6.85810665057573,0.000125402284237083,100,0
"ASV_001","rna","specific_conductivity",12.8401338822114,2.17385771691064e-05,100,0
"ASV_001","rna_dna","specific_conductivity",4.24502465859532,0.000141858878227379,100,0
"ASV_001","dna","salinity",24.4395667110523,11.1110771152552,100,0
"ASV_001","rna","salinity",18.1679605627528,3.22237170928615e-05,100,0
"ASV_001","rna_dna","salinity",17.8301009419621,11.25671578214,100,0
"ASV_001","dna","total_nitrogen",0.643665304423434,3.02065262560015e-06,100,0
"ASV_001","rna","total_nitrogen",0.0530694290936101,4.5143904785144e-06,100,0
"ASV_001","rna_dna","total_nitrogen",2.30990903698806,2.06762354206053,100,0
"ASV_001","dna","total_phosphorus",0.00214930127692916,3.74713844908313e-08,100,0
"ASV_001","rna","total_phosphorus",0.00374091835169425,5.67321405489246e-08,100,0
"ASV_001","rna_dna","total_phosphorus",0.00319964791305719,8.56348468198577e-08,100,0
"ASV_001","dna","doc",0.268513796494171,0.157619629676268,100,0
"ASV_001","rna","doc",0.958192659526979,0.733726149407299,100,0
"ASV_001","rna_dna","doc",0.145047854795131,0.091464234461364,100,0
"ASV_001","dna","secchi_depth",0.211550018163308,9.82479264959354e-05,100,0
"ASV_001","rna","secchi_depth",0.500934045381195,8.41977220473098e-07,100,0
"ASV_001","rna_dna","secchi_depth",0.335335899922459,0.123843205233176,100,0
"ASV_001","dna","ph",0.584656743277228,3.95333072468946e-07,100,0
"ASV_001","rna","ph",0.127145570782244,5.31388967937652e-06,100,0
"ASV_001","rna_dna","ph",1.39050118325599,2.58313213392616e-06,100,1
"ASV_001","dna","dissolved_oxygen",0.226727413840575,0.166874887205438,100,0
"ASV_001","rna","dissolved_oxygen",0.0422877097827467,0.0214846621123023,100,0
"ASV_001","rna_dna","dissolved_oxygen",0.291628855100534,0.229952709521786,100,0
"ASV_001","dna","day_of_year",0.00590320872077299,0.00425350865217345,100,0
"ASV_001","rna","day_of_year",0.0299454838838814,0.0284044548057105,100,0.1
"ASV_001","rna_dna","day_of_year",0.0598215139153298,0.0563286135174329,100,0.08
"ASV_001","dna","days",0.0316292615996197,0.0210540108637436,100,0
"ASV_001","rna","days",0.00106548151471135,3.90908638688867e-08,100,0
"ASV_001","rna_dna","days",0.0462228630083603,0.0263873333777495,100,0
"ASV_002","dna","water_temp",0.0600209336615189,1.33363571458412e-07,100,1
