,ASV_001,ASV_002,ASV_003,ASV_004,ASV_005,ASV_006,ASV_007,ASV_008,ASV_009,ASV_010,ASV_011,ASV_012,ASV_013,ASV_014,ASV_015,ASV_016,ASV_017,ASV_018,ASV_019,ASV_020,ASV_021
ASV_001,0.9999999999999999,0.07092380177639467,0.2576440281595795,-0.23863464519088104,0.5150168268741335,-0.12804300908742575,0.20422987344333082,-0.11906365131223907,-0.5815795342916371,-0.0014514816760583154,-0.4084491061193742,-0.17267277614450136,-0.05580725816658743,-0.20764892944441582,0.03280034503707218,-0.270626381427843,0.07264518378283626,0.008815616840749196,-0.795952501268105,-0.26935999763524465,-0.038476093873495765
ASV_002,0.07092380177639467,1.0,0.3813245900679262,0.013800294488697946,0.15335505544869626,-0.2105826498548716,-0.12167016662907498,-0.16191026373276124,0.006451743225873185,0.15604691693766165,-0.01438912267785842,-0.1478045248733334,0.05082386629540079,-0.07687447828122194,0.25472995388352593,0.033508103129375674,-0.5901830384969472,-0.1710252855708388,0.00223821507306466,-0.07549200546187745,0.42542948886430487
ASV_003,0.2576440281595795,0.3813245900679262,1.0,-0.03914847919180652,-0.014695588919154446,0.028805780460455906,0.4399265018649469,-0.2440363937095026,-0.2968755320462942,-0.0003663846419471903,0.12772144343959238,-0.5352711331441591,-0.13311031793899836,-0.10037272140465393,0.07262384640365353,-0.2671914801545461,-0.45290621921508334,0.24350352180485982,-0.10699091851637012,-0.23409394854206036,-0.09520558364504765
ASV_004,-0.23863464519088104,0.013800294488697946,-0.039148479191806515,1.0,-0.16606116966753137,-0.08879830277021827,-0.11770654605980307,0.5753750128688909,0.05449522731723251,-0.5049156203907119,0.10678068738640878,0.5240112757415049,-0.306136698709372,-0.37348723768400083,0.6827818469189527,-0.3201490165918972,-0.23566937201304872,0.055847341944863814,0.36201651402368623,-0.33204883233101,-0.08644263912245248
ASV_005,0.5150168268741335,0.15335505544869626,-0.014695588919154448,-0.16606116966753137,1.0,-0.39206461712213836,0.0645075597789224,-0.4062505303283283,-0.48651651703623877,0.2743784944820382,-0.5324993341026366,-0.2544299996498053,-0.037647888635127705,0.04417428732160715,-0.04248659028833034,0.040606292376043594,0.027520467093945563,-0.29722713557158564,-0.1699650337084873,0.04119532563123267,0.18161423243596878
ASV_006,-0.12804300908742575,-0.21058264985487163,0.02880578046045591,-0.08879830277021827,-0.3920646171221384,1.0,0.26048881129762536,0.29203514146394793,0.1295265986852777,-0.44999121008913323,0.5862951727882681,-0.03350836700806431,0.13138046907611176,-0.29445904019391506,-0.16761790111684413,-0.37367109066829873,0.29592811434186317,0.2183017018028804,-0.209997743399966,-0.1630962268060678,-0.5340023992043105
ASV_007,0.20422987344333085,-0.121670166629075,0.439926501864947,-0.11770654605980307,0.0645075597789224,0.26048881129762536,0.9999999999999998,-0.013412439557732888,-0.23406799530280198,-0.1359731115672699,0.23996380325847688,-0.24390409353005812,-0.16821899752838168,-0.23900955619309397,-0.1951150869394948,-0.2269140847654282,-0.07575744130907762,0.2422350935366864,-0.17183916184504194,0.013732052719752969,-0.4646596485292978
ASV_008,-0.11906365131223905,-0.16191026373276124,-0.24403639370950259,0.5753750128688909,-0.40625053032832836,0.29203514146394793,-0.013412439557732888,0.9999999999999998,-0.007836970412393441,-0.694948489129833,0.25970930526764385,0.8845666478329905,0.19327504892720115,-0.709982278688633,0.29928573934769964,-0.5781222651499298,0.007251814994699417,0.1328526203672284,0.009329311040165399,-0.5020677594472097,-0.45450545442139734
ASV_009,-0.5815795342916371,0.006451743225873185,-0.2968755320462942,0.05449522731723251,-0.4865165170362387,0.1295265986852777,-0.23406799530280198,-0.007836970412393441,1.0,0.21163469688171102,0.4393725334275912,0.07339035678972121,0.01660189022003795,0.3201248757812742,0.031049470003922854,0.3790200976407189,-0.09811554105467908,-0.07194983594679479,0.25872306171106646,0.46466769965319316,0.11407543117733909
ASV_010,-0.0014514816760583156,0.15604691693766162,-0.0003663846419471903,-0.5049156203907119,0.27437849448203816,-0.44999121008913323,-0.13597311156726988,-0.6949484891298329,0.21163469688171102,0.9999999999999999,-0.39317652929190455,-0.44512351892178514,0.006663548056017511,0.7693333491167205,-0.3210676991423751,0.5087028531697506,-0.08923779865308669,-0.11520103470663125,-0.00030357450564613773,0.6596866571563671,0.43660830226952707
