,ASV_001,ASV_002,ASV_003,ASV_004,ASV_005,ASV_006,ASV_007,ASV_008,ASV_009,ASV_010,ASV_011,ASV_012,ASV_013,ASV_014,ASV_015,ASV_016,ASV_017,ASV_018,ASV_019,ASV_020,ASV_021
ASV_001,1.0,0.3417513676261369,0.02428188033773747,-0.27547135346154217,0.6417168634851131,-0.19328179429763245,0.1955275323018518,-0.39194173876055566,-0.6011169140770752,0.21552222271175614,-0.34987633725413686,-0.3125924691534337,0.14523652530001388,-0.14107097348851014,-0.4442872136427348,-0.19399429747762525,-0.17360208759027462,0.0259132659362132,-0.5285756856429789,-0.1435149980988517,-0.01869038422408804
ASV_002,0.34175136762613695,1.0,0.17432008289663803,-0.4997062865343315,0.31088186146396035,-0.2960324178526819,-0.13829456890778608,-0.24703670874459474,-0.30594420271458767,0.4394170979278679,-0.09161465166036589,-0.29278342861989176,0.09735851389800768,0.28387535411958204,-0.35459206561425377,-0.030244440128835162,-0.03571681317347161,-0.2083164647867583,-0.3137848505628912,-0.23696064276374434,0.22956107172161544
ASV_003,0.024281880337737472,0.17432008289663803,1.0,-0.3125422182051062,-0.029701044678111167,-0.08619045381538588,0.2735464728451063,-0.24784200180226917,-0.06589798302759037,0.08131566954749062,0.2092066835773629,-0.42784821117749994,-0.19491113991084943,0.49804038054776956,0.07692514343634092,0.07327062456141377,0.005524043518302203,0.2076516876885785,0.039260391948320615,-0.21294504123122435,-0.11341501412782201
ASV_004,-0.2754713534615422,-0.4997062865343315,-0.31254221820510625,0.9999999999999999,-0.10612248362342622,0.020294282980630456,-0.06879775019353157,0.11092425636913095,0.17336785231824858,-0.12096092192730348,-0.14275144314914034,0.23762177608442966,0.07751469333093325,-0.34363798988617983,0.35058919686845014,-0.0016183357497155085,-0.2191610057228767,0.05169671650238284,0.5369801099551195,0.01973633617458511,0.043464022759922935
ASV_005,0.6417168634851131,0.31088186146396035,-0.029701044678111167,-0.10612248362342622,1.0,-0.4347659951654853,0.07643528657820274,-0.457507474862237,-0.6467779005276523,0.25661357508005167,-0.6392627871571886,-0.34849215996623933,0.2014351521770358,-0.1567711399300665,-0.2363216794673853,0.18896527327804097,-0.07123681561823912,-0.3559678423012694,-0.20756221185198956,-0.24139934365211418,0.26477335044955197
ASV_006,-0.19328179429763248,-0.2960324178526819,-0.08619045381538588,0.020294282980630456,-0.4347659951654853,1.0,0.196822206459849,0.20522104352985104,0.4569483593423994,-0.49791036412770406,0.5852906081566664,0.015342080222240151,-0.08171576952936385,-0.1427841204685061,0.08269366449222319,-0.2774810774374708,0.35105445381517847,-0.03707452064556019,-0.12303013181451863,0.06821007950541866,-0.672059514427174
ASV_007,0.19552753230185183,-0.13829456890778608,0.27354647284510625,-0.06879775019353157,0.07643528657820274,0.196822206459849,0.9999999999999999,-0.11345654999129394,-0.003044201788599373,-0.08875557483909025,0.18319100048255718,-0.17351969219416905,-0.1450734104740625,-0.04055053509955024,-0.37063724786010405,-0.1381834378044283,-0.22963478887351577,0.15336434289680362,-0.10113158127273293,-0.004778114813896222,-0.35985970630077396
ASV_008,-0.3919417387605557,-0.24703670874459477,-0.24784200180226917,0.11092425636913095,-0.457507474862237,0.20522104352985107,-0.11345654999129393,1.0,0.25825890361398746,-0.5674270412281334,0.2655709472606154,0.8929011938368896,0.40213304984983245,-0.24060078898262494,0.34043875283685143,-0.6096032929128888,-0.1109145223270147,0.1850920092942864,0.03849359271439243,-0.45291244968334665,-0.368440878628886
ASV_009,-0.6011169140770752,-0.30594420271458767,-0.06589798302759037,0.17336785231824856,-0.6467779005276524,0.4569483593423994,-0.0030442017885993727,0.25825890361398746,0.9999999999999999,-0.08097189816021245,0.5211279674556585,0.206172027170868,-0.3546666483778852,0.11943086279605193,0.053777642913664145,0.044214147213451724,0.1796336433698497,0.057413113125222036,0.3899569272284171,0.4554843734580776,-0.2829807561322025
ASV_010,0.21552222271175614,0.4394170979278679,0.08131566954749063,-0.1209609219273035,0.25661357508005167,-0.4979103641277041,-0.08875557483909025,-0.5674270412281334,-0.08097189816021245,1.0,-0.3456867088087501,-0.426376445106138,-0.2837887139553989,0.3741388599170332,-0.33068050784782727,0.46397947512091053,-0.06692080334603391,-0.1471051638642793,0.012634066483285116,0.32528196533494397,0.5329109057360956
