predictor,dtype,asv_id,trophic,z_score,pi_lo_z,pi_hi_z,pred_label,dtype_label
salinity,dna,ASV_001,phototroph,0.8814341595850564,-1.1803584451756441,2.042893459527011,Salinity,rDNA
salinity,dna,ASV_005,phototroph,3.0031170835139256,-1.1803584451756441,2.042893459527011,Salinity,rDNA
salinity,rna,ASV_001,phototroph,1.199444646768956,-1.0182982477247224,1.9323986733983427,Salinity,rRNA
salinity,rna,ASV_005,phototroph,-0.9938889695282801,-1.0182982477247224,1.9323986733983427,Salinity,rRNA
salinity,rna_dna,ASV_001,phototroph,-0.23137108052073335,-0.9952314963625345,2.434318259828107,Salinity,rRNA:rDNA
salinity,rna_dna,ASV_005,phototroph,1.1925548942696786,-0.9952314963625345,2.434318259828107,Salinity,rRNA:rDNA
specific_conductivity,dna,ASV_001,phototroph,-0.15804644715969016,-1.3228419602274377,1.8100525683931425,Sp. conductivity,rDNA
specific_conductivity,dna,ASV_005,phototroph,1.5461581930477846,-1.3228419602274377,1.8100525683931425,Sp. conductivity,rDNA
specific_conductivity,rna,ASV_001,phototroph,2.2028389809142253,-0.9521130418168311,1.8415079435685278,Sp. conductivity,rRNA
specific_conductivity,rna,ASV_005,phototroph,-0.8674772489503263,-0.9521130418168311,1.8415079435685278,Sp. conductivity,rRNA
specific_conductivity,rna_dna,ASV_001,phototroph,-0.5625754209609359,-0.925573070670712,2.4249407553403755,Sp. conductivity,rRNA:rDNA
specific_conductivity,rna_dna,ASV_005,phototroph,0.9286148109115935,-0.925573070670712,2.4249407553403755,Sp. conductivity,rRNA:rDNA
total_nitrogen,dna,ASV_001,phototroph,-0.19489166183901915,-1.1699873126926492,1.9884453655951981,Total N,rDNA
total_nitrogen,dna,ASV_005,phototroph,-1.1236889384451632,-1.1699873126926492,1.9884453655951981,Total N,rDNA
total_nitrogen,rna,ASV_001,phototroph,-1.382607204421072,-1.479964074080863,1.7927368502281587,Total N,rRNA
total_nitrogen,rna,ASV_005,phototroph,1.709566268499292,-1.479964074080863,1.7927368502281587,Total N,rRNA
total_nitrogen,rna_dna,ASV_001,phototroph,1.4165049195361386,-1.1204689448600351,2.093289236921437,Total N,rRNA:rDNA
total_nitrogen,rna_dna,ASV_005,phototroph,-0.465817492170747,-1.1204689448600351,2.093289236921437,Total N,rRNA:rDNA
ph,dna,ASV_001,phototroph,1.9791013135352435,-0.8519539732919218,2.335881872471884,pH,rDNA
ph,dna,ASV_005,phototroph,2.1762942716261566,-0.8519539732919218,2.335881872471884,pH,rDNA
ph,rna,ASV_001,phototroph,-0.49726652073543587,-0.9934636529456923,2.29615053522559,pH,rRNA
ph,rna,ASV_005,phototroph,-0.08184402656282364,-0.9934636529456923,2.29615053522559,pH,rRNA
ph,rna_dna,ASV_001,phototroph,2.90783517869212,-0.988834396027197,2.0522137757538363,pH,rRNA:rDNA
ph,rna_dna,ASV_005,phototroph,1.9525653355405286,-0.988834396027197,2.0522137757538363,pH,rRNA:rDNA
doc,dna,ASV_001,phototroph,1.6367437757710341,-1.1629742995687131,2.2508261030506596,DOC,rDNA
doc,dna,ASV_005,phototroph,2.7621903245842176,-1.1629742995687131,2.2508261030506596,DOC,rDNA
doc,rna,ASV_001,phototroph,4.723762505698472,-0.8669525366759762,2.3670054313069464,DOC,rRNA
doc,rna,ASV_005,phototroph,0.3185556220530648,-0.8669525366759762,2.3670054313069464,DOC,rRNA
doc,rna_dna,ASV_001,phototroph,-0.6825159965961088,-1.4196468173299017,1.7394783835347307,DOC,rRNA:rDNA
doc,rna_dna,ASV_005,phototroph,1.7251586450869154,-1.4196468173299017,1.7394783835347307,DOC,rRNA:rDNA
secchi_depth,dna,ASV_001,phototroph,0.6712414746723412,-1.0080705249440847,2.3448138302456543,Secchi depth,rDNA
